top 1: precision:0.004791, recall:0.004457
top 2: precision:0.003282, recall:0.006108
top 3: precision:0.003015, recall:0.008419
top 4: precision:0.002483, recall:0.009244
top 5: precision:0.002128, recall:0.009904
top 6: precision:0.001921, recall:0.010730
top 7: precision:0.001799, recall:0.011721
top 8: precision:0.001574, recall:0.011721
top 9: precision:0.001438, recall:0.012051
top 10: precision:0.001348, recall:0.012546
top 11: precision:0.001242, recall:0.012711
top 12: precision:0.001138, recall:0.012711
top 13: precision:0.001050, recall:0.012711
top 14: precision:0.001001, recall:0.013041
top 15: precision:0.000946, recall:0.013206
top 16: precision:0.000887, recall:0.013206
top 17: precision:0.000855, recall:0.013536
top 18: precision:0.000808, recall:0.013536
top 19: precision:0.000765, recall:0.013536
top 20: precision:0.000727, recall:0.013536
top 21: precision:0.000701, recall:0.013701
top 22: precision:0.000669, recall:0.013701
top 23: precision:0.000640, recall:0.013701
top 24: precision:0.000621, recall:0.013866
top 25: precision:0.000596, recall:0.013866
top 26: precision:0.000580, recall:0.014031
top 27: precision:0.000565, recall:0.014196
top 28: precision:0.000557, recall:0.014526
top 29: precision:0.000538, recall:0.014526
top 30: precision:0.000520, recall:0.014526
top 31: precision:0.000503, recall:0.014526
top 32: precision:0.000488, recall:0.014526
top 33: precision:0.000478, recall:0.014691
top 34: precision:0.000464, recall:0.014691
top 35: precision:0.000451, recall:0.014691
top 36: precision:0.000439, recall:0.014691
top 37: precision:0.000427, recall:0.014691
top 38: precision:0.000424, recall:0.015021
top 39: precision:0.000418, recall:0.015186
top 40: precision:0.000408, recall:0.015186
top 41: precision:0.000398, recall:0.015186
top 42: precision:0.000388, recall:0.015186
top 43: precision:0.000379, recall:0.015186
top 44: precision:0.000371, recall:0.015186
top 45: precision:0.000363, recall:0.015186
top 46: precision:0.000355, recall:0.015186
top 47: precision:0.000347, recall:0.015186
top 48: precision:0.000340, recall:0.015186
top 49: precision:0.000333, recall:0.015186
top 50: precision:0.000326, recall:0.015186
top 51: precision:0.000327, recall:0.015516
top 52: precision:0.000321, recall:0.015516
top 53: precision:0.000315, recall:0.015516
top 54: precision:0.000309, recall:0.015516
top 55: precision:0.000303, recall:0.015516
top 56: precision:0.000298, recall:0.015516
top 57: precision:0.000299, recall:0.015847
top 58: precision:0.000293, recall:0.015847
top 59: precision:0.000288, recall:0.015847
top 60: precision:0.000284, recall:0.015847
top 61: precision:0.000282, recall:0.016012
top 62: precision:0.000278, recall:0.016012
top 63: precision:0.000273, recall:0.016012
top 64: precision:0.000272, recall:0.016177
top 65: precision:0.000268, recall:0.016177
top 66: precision:0.000264, recall:0.016177
top 67: precision:0.000260, recall:0.016177
top 68: precision:0.000256, recall:0.016177
top 69: precision:0.000257, recall:0.016507
top 70: precision:0.000253, recall:0.016507
top 71: precision:0.000250, recall:0.016507
top 72: precision:0.000246, recall:0.016507
top 73: precision:0.000243, recall:0.016507
top 74: precision:0.000240, recall:0.016507
top 75: precision:0.000237, recall:0.016507
top 76: precision:0.000236, recall:0.016672
top 77: precision:0.000238, recall:0.017002
top 78: precision:0.000234, recall:0.017002
top 79: precision:0.000231, recall:0.017002
top 80: precision:0.000228, recall:0.017002
top 81: precision:0.000226, recall:0.017002
top 82: precision:0.000223, recall:0.017002
top 83: precision:0.000220, recall:0.017002
top 84: precision:0.000217, recall:0.017002
top 85: precision:0.000217, recall:0.017167
top 86: precision:0.000214, recall:0.017167
top 87: precision:0.000216, recall:0.017498
top 88: precision:0.000213, recall:0.017498
top 89: precision:0.000211, recall:0.017498
top 90: precision:0.000209, recall:0.017498
top 91: precision:0.000206, recall:0.017498
top 92: precision:0.000204, recall:0.017498
top 93: precision:0.000202, recall:0.017498
top 94: precision:0.000204, recall:0.017828
top 95: precision:0.000202, recall:0.017828
top 96: precision:0.000200, recall:0.017828
top 97: precision:0.000200, recall:0.017993
top 98: precision:0.000198, recall:0.017993
top 99: precision:0.000197, recall:0.018158
top 100: precision:0.000197, recall:0.018323
