top 1: precision:0.025544, recall:0.023770
top 2: precision:0.019955, recall:0.037141
top 3: precision:0.017205, recall:0.048035
top 4: precision:0.013791, recall:0.051337
top 5: precision:0.011883, recall:0.055299
top 6: precision:0.010375, recall:0.057940
top 7: precision:0.009121, recall:0.059426
top 8: precision:0.008070, recall:0.060087
top 9: precision:0.007311, recall:0.061242
top 10: precision:0.006758, recall:0.062892
top 11: precision:0.006272, recall:0.064213
top 12: precision:0.005809, recall:0.064873
top 13: precision:0.005485, recall:0.066359
top 14: precision:0.005232, recall:0.068175
top 15: precision:0.004931, recall:0.068835
top 16: precision:0.004678, recall:0.069660
top 17: precision:0.004455, recall:0.070486
top 18: precision:0.004246, recall:0.071146
top 19: precision:0.004070, recall:0.071972
top 20: precision:0.003911, recall:0.072797
top 21: precision:0.003784, recall:0.073952
top 22: precision:0.003636, recall:0.074447
top 23: precision:0.003517, recall:0.075272
top 24: precision:0.003370, recall:0.075272
top 25: precision:0.003256, recall:0.075768
top 26: precision:0.003145, recall:0.076098
top 27: precision:0.003041, recall:0.076428
top 28: precision:0.002958, recall:0.077088
top 29: precision:0.002880, recall:0.077749
top 30: precision:0.002784, recall:0.077749
top 31: precision:0.002724, recall:0.078574
top 32: precision:0.002638, recall:0.078574
top 33: precision:0.002596, recall:0.079730
top 34: precision:0.002535, recall:0.080225
top 35: precision:0.002463, recall:0.080225
top 36: precision:0.002414, recall:0.080885
top 37: precision:0.002359, recall:0.081215
top 38: precision:0.002310, recall:0.081710
top 39: precision:0.002260, recall:0.082040
top 40: precision:0.002208, recall:0.082205
top 41: precision:0.002154, recall:0.082205
top 42: precision:0.002107, recall:0.082370
top 43: precision:0.002079, recall:0.083196
top 44: precision:0.002032, recall:0.083196
top 45: precision:0.002003, recall:0.083856
top 46: precision:0.001966, recall:0.084186
top 47: precision:0.001936, recall:0.084681
top 48: precision:0.001914, recall:0.085506
top 49: precision:0.001879, recall:0.085671
top 50: precision:0.001841, recall:0.085671
top 51: precision:0.001809, recall:0.085836
top 52: precision:0.001798, recall:0.086992
top 53: precision:0.001767, recall:0.087157
top 54: precision:0.001741, recall:0.087487
top 55: precision:0.001712, recall:0.087652
top 56: precision:0.001688, recall:0.087983
top 57: precision:0.001658, recall:0.087983
top 58: precision:0.001636, recall:0.088313
top 59: precision:0.001623, recall:0.089138
top 60: precision:0.001602, recall:0.089468
top 61: precision:0.001576, recall:0.089468
top 62: precision:0.001557, recall:0.089798
top 63: precision:0.001534, recall:0.089963
top 64: precision:0.001516, recall:0.090293
top 65: precision:0.001496, recall:0.090458
top 66: precision:0.001478, recall:0.090789
top 67: precision:0.001474, recall:0.091945
top 68: precision:0.001463, recall:0.092605
top 69: precision:0.001452, recall:0.093265
top 70: precision:0.001432, recall:0.093265
top 71: precision:0.001416, recall:0.093595
top 72: precision:0.001402, recall:0.093925
top 73: precision:0.001387, recall:0.094255
top 74: precision:0.001376, recall:0.094751
top 75: precision:0.001362, recall:0.095081
top 76: precision:0.001344, recall:0.095081
top 77: precision:0.001332, recall:0.095411
top 78: precision:0.001315, recall:0.095411
top 79: precision:0.001298, recall:0.095411
top 80: precision:0.001286, recall:0.095741
top 81: precision:0.001270, recall:0.095741
top 82: precision:0.001255, recall:0.095741
top 83: precision:0.001241, recall:0.095906
top 84: precision:0.001226, recall:0.095906
top 85: precision:0.001212, recall:0.095906
top 86: precision:0.001198, recall:0.095906
top 87: precision:0.001185, recall:0.095906
top 88: precision:0.001171, recall:0.095906
top 89: precision:0.001162, recall:0.096237
top 90: precision:0.001157, recall:0.096897
top 91: precision:0.001144, recall:0.096897
top 92: precision:0.001132, recall:0.096897
top 93: precision:0.001122, recall:0.097062
top 94: precision:0.001110, recall:0.097062
top 95: precision:0.001098, recall:0.097062
top 96: precision:0.001086, recall:0.097062
top 97: precision:0.001079, recall:0.097392
top 98: precision:0.001068, recall:0.097392
top 99: precision:0.001057, recall:0.097392
top 100: precision:0.001046, recall:0.097392
