top 1: precision:0.018449, recall:0.017167
top 2: precision:0.014546, recall:0.027072
top 3: precision:0.011530, recall:0.032189
top 4: precision:0.009935, recall:0.036975
top 5: precision:0.009366, recall:0.043578
top 6: precision:0.008426, recall:0.047045
top 7: precision:0.007855, recall:0.051172
top 8: precision:0.007428, recall:0.055298
top 9: precision:0.006977, recall:0.058435
top 10: precision:0.006634, recall:0.061736
top 11: precision:0.006208, recall:0.063552
top 12: precision:0.005868, recall:0.065533
top 13: precision:0.005526, recall:0.066853
top 14: precision:0.005372, recall:0.069990
top 15: precision:0.005250, recall:0.073292
top 16: precision:0.004977, recall:0.074117
top 17: precision:0.004820, recall:0.076263
top 18: precision:0.004661, recall:0.078079
top 19: precision:0.004499, recall:0.079565
top 20: precision:0.004345, recall:0.080885
top 21: precision:0.004223, recall:0.082536
top 22: precision:0.004120, recall:0.084351
top 23: precision:0.003972, recall:0.085012
top 24: precision:0.003880, recall:0.086663
top 25: precision:0.003781, recall:0.087983
top 26: precision:0.003698, recall:0.089468
top 27: precision:0.003587, recall:0.090129
top 28: precision:0.003541, recall:0.092275
top 29: precision:0.003450, recall:0.093100
top 30: precision:0.003376, recall:0.094255
top 31: precision:0.003312, recall:0.095576
top 32: precision:0.003298, recall:0.098218
top 33: precision:0.003209, recall:0.098548
top 34: precision:0.003140, recall:0.099373
top 35: precision:0.003076, recall:0.100199
top 36: precision:0.003030, recall:0.101520
top 37: precision:0.002972, recall:0.102345
top 38: precision:0.002922, recall:0.103335
top 39: precision:0.002879, recall:0.104490
top 40: precision:0.002811, recall:0.104655
top 41: precision:0.002755, recall:0.105151
top 42: precision:0.002715, recall:0.106141
top 43: precision:0.002677, recall:0.107132
top 44: precision:0.002653, recall:0.108617
top 45: precision:0.002637, recall:0.110433
top 46: precision:0.002603, recall:0.111423
top 47: precision:0.002555, recall:0.111753
top 48: precision:0.002516, recall:0.112413
top 49: precision:0.002480, recall:0.113074
top 50: precision:0.002444, recall:0.113734
top 51: precision:0.002407, recall:0.114230
top 52: precision:0.002374, recall:0.114890
top 53: precision:0.002349, recall:0.115880
top 54: precision:0.002319, recall:0.116540
top 55: precision:0.002290, recall:0.117200
top 56: precision:0.002255, recall:0.117531
top 57: precision:0.002238, recall:0.118686
top 58: precision:0.002229, recall:0.120337
top 59: precision:0.002191, recall:0.120337
top 60: precision:0.002164, recall:0.120832
top 61: precision:0.002146, recall:0.121822
top 62: precision:0.002117, recall:0.122152
top 63: precision:0.002095, recall:0.122813
top 64: precision:0.002084, recall:0.124133
top 65: precision:0.002055, recall:0.124298
top 66: precision:0.002032, recall:0.124793
top 67: precision:0.002007, recall:0.125124
top 68: precision:0.001982, recall:0.125454
top 69: precision:0.001967, recall:0.126279
top 70: precision:0.001946, recall:0.126774
top 71: precision:0.001924, recall:0.127104
top 72: precision:0.001914, recall:0.128260
top 73: precision:0.001893, recall:0.128590
top 74: precision:0.001870, recall:0.128755
top 75: precision:0.001847, recall:0.128920
top 76: precision:0.001825, recall:0.129085
top 77: precision:0.001811, recall:0.129746
top 78: precision:0.001794, recall:0.130241
top 79: precision:0.001787, recall:0.131396
top 80: precision:0.001771, recall:0.131891
top 81: precision:0.001754, recall:0.132221
top 82: precision:0.001748, recall:0.133377
top 83: precision:0.001733, recall:0.133872
top 84: precision:0.001717, recall:0.134203
top 85: precision:0.001701, recall:0.134533
top 86: precision:0.001685, recall:0.134863
top 87: precision:0.001669, recall:0.135193
top 88: precision:0.001669, recall:0.136679
top 89: precision:0.001652, recall:0.136844
top 90: precision:0.001635, recall:0.137009
top 91: precision:0.001621, recall:0.137339
top 92: precision:0.001611, recall:0.137999
top 93: precision:0.001594, recall:0.137999
top 94: precision:0.001577, recall:0.137999
top 95: precision:0.001561, recall:0.137999
top 96: precision:0.001544, recall:0.137999
top 97: precision:0.001542, recall:0.139155
top 98: precision:0.001529, recall:0.139485
top 99: precision:0.001516, recall:0.139650
top 100: precision:0.001508, recall:0.140311
