top 1: precision:0.012580, recall:0.011718
top 2: precision:0.010191, recall:0.018980
top 3: precision:0.008389, recall:0.023436
top 4: precision:0.007400, recall:0.027563
top 5: precision:0.007019, recall:0.032679
top 6: precision:0.006498, recall:0.036310
top 7: precision:0.005874, recall:0.038291
top 8: precision:0.005472, recall:0.040767
top 9: precision:0.005139, recall:0.043077
top 10: precision:0.004838, recall:0.045057
top 11: precision:0.004592, recall:0.047038
top 12: precision:0.004416, recall:0.049349
top 13: precision:0.004171, recall:0.050504
top 14: precision:0.003987, recall:0.051989
top 15: precision:0.003792, recall:0.052979
top 16: precision:0.003633, recall:0.054135
top 17: precision:0.003565, recall:0.056445
top 18: precision:0.003466, recall:0.058096
top 19: precision:0.003395, recall:0.060076
top 20: precision:0.003314, recall:0.061727
top 21: precision:0.003232, recall:0.063212
top 22: precision:0.003142, recall:0.064367
top 23: precision:0.003059, recall:0.065523
top 24: precision:0.002969, recall:0.066348
top 25: precision:0.002914, recall:0.067834
top 26: precision:0.002822, recall:0.068329
top 27: precision:0.002784, recall:0.069979
top 28: precision:0.002722, recall:0.070970
top 29: precision:0.002652, recall:0.071630
top 30: precision:0.002617, recall:0.073115
top 31: precision:0.002579, recall:0.074436
top 32: precision:0.002526, recall:0.075261
top 33: precision:0.002492, recall:0.076581
top 34: precision:0.002435, recall:0.077076
top 35: precision:0.002385, recall:0.077737
top 36: precision:0.002339, recall:0.078397
top 37: precision:0.002295, recall:0.079057
top 38: precision:0.002248, recall:0.079552
top 39: precision:0.002218, recall:0.080542
top 40: precision:0.002180, recall:0.081203
top 41: precision:0.002153, recall:0.082193
top 42: precision:0.002131, recall:0.083348
top 43: precision:0.002114, recall:0.084668
top 44: precision:0.002083, recall:0.085328
top 45: precision:0.002056, recall:0.086154
top 46: precision:0.002023, recall:0.086649
top 47: precision:0.001995, recall:0.087309
top 48: precision:0.001983, recall:0.088630
top 49: precision:0.001957, recall:0.089290
top 50: precision:0.001932, recall:0.089950
top 51: precision:0.001908, recall:0.090610
top 52: precision:0.001875, recall:0.090775
top 53: precision:0.001843, recall:0.090940
top 54: precision:0.001818, recall:0.091435
top 55: precision:0.001805, recall:0.092426
top 56: precision:0.001776, recall:0.092591
top 57: precision:0.001754, recall:0.093086
top 58: precision:0.001736, recall:0.093746
top 59: precision:0.001712, recall:0.094076
top 60: precision:0.001693, recall:0.094571
top 61: precision:0.001668, recall:0.094736
top 62: precision:0.001641, recall:0.094736
top 63: precision:0.001623, recall:0.095231
top 64: precision:0.001601, recall:0.095396
top 65: precision:0.001590, recall:0.096221
top 66: precision:0.001573, recall:0.096717
top 67: precision:0.001556, recall:0.097047
top 68: precision:0.001538, recall:0.097377
top 69: precision:0.001531, recall:0.098367
top 70: precision:0.001517, recall:0.098862
top 71: precision:0.001498, recall:0.099027
top 72: precision:0.001492, recall:0.100018
top 73: precision:0.001481, recall:0.100678
top 74: precision:0.001468, recall:0.101173
top 75: precision:0.001451, recall:0.101338
top 76: precision:0.001441, recall:0.101998
top 77: precision:0.001429, recall:0.102493
top 78: precision:0.001418, recall:0.102988
top 79: precision:0.001402, recall:0.103153
top 80: precision:0.001394, recall:0.103814
top 81: precision:0.001383, recall:0.104309
top 82: precision:0.001371, recall:0.104639
top 83: precision:0.001356, recall:0.104804
top 84: precision:0.001346, recall:0.105299
top 85: precision:0.001332, recall:0.105464
top 86: precision:0.001317, recall:0.105464
top 87: precision:0.001310, recall:0.106124
top 88: precision:0.001297, recall:0.106289
top 89: precision:0.001288, recall:0.106784
top 90: precision:0.001280, recall:0.107279
top 91: precision:0.001270, recall:0.107610
top 92: precision:0.001264, recall:0.108270
top 93: precision:0.001254, recall:0.108600
top 94: precision:0.001244, recall:0.108930
top 95: precision:0.001235, recall:0.109260
top 96: precision:0.001226, recall:0.109590
top 97: precision:0.001223, recall:0.110415
top 98: precision:0.001215, recall:0.110910
top 99: precision:0.001209, recall:0.111406
top 100: precision:0.001198, recall:0.111571
