top 1: precision:0.032809, recall:0.030539
top 2: precision:0.022614, recall:0.042093
top 3: precision:0.018326, recall:0.051173
top 4: precision:0.015386, recall:0.057280
top 5: precision:0.013337, recall:0.062067
top 6: precision:0.011823, recall:0.066029
top 7: precision:0.010996, recall:0.071642
top 8: precision:0.010441, recall:0.077750
top 9: precision:0.009714, recall:0.081381
top 10: precision:0.009151, recall:0.085178
top 11: precision:0.008690, recall:0.088975
top 12: precision:0.008113, recall:0.090626
top 13: precision:0.007585, recall:0.091781
top 14: precision:0.007347, recall:0.095743
top 15: precision:0.007046, recall:0.098384
top 16: precision:0.006717, recall:0.100035
top 17: precision:0.006457, recall:0.102181
top 18: precision:0.006285, recall:0.105318
top 19: precision:0.006132, recall:0.108454
top 20: precision:0.005896, recall:0.109775
top 21: precision:0.005700, recall:0.111425
top 22: precision:0.005465, recall:0.111920
top 23: precision:0.005274, recall:0.112911
top 24: precision:0.005143, recall:0.114891
top 25: precision:0.005015, recall:0.116707
top 26: precision:0.004877, recall:0.118028
top 27: precision:0.004749, recall:0.119349
top 28: precision:0.004636, recall:0.120834
top 29: precision:0.004580, recall:0.123641
top 30: precision:0.004463, recall:0.124631
top 31: precision:0.004388, recall:0.126611
top 32: precision:0.004278, recall:0.127437
top 33: precision:0.004187, recall:0.128592
top 34: precision:0.004074, recall:0.128922
top 35: precision:0.003957, recall:0.128922
top 36: precision:0.003882, recall:0.130078
top 37: precision:0.003815, recall:0.131399
top 38: precision:0.003752, recall:0.132719
top 39: precision:0.003706, recall:0.134535
top 40: precision:0.003627, recall:0.135030
top 41: precision:0.003552, recall:0.135525
top 42: precision:0.003492, recall:0.136516
top 43: precision:0.003419, recall:0.136846
top 44: precision:0.003374, recall:0.138166
top 45: precision:0.003307, recall:0.138497
top 46: precision:0.003266, recall:0.139817
top 47: precision:0.003234, recall:0.141468
top 48: precision:0.003200, recall:0.142954
top 49: precision:0.003134, recall:0.142954
top 50: precision:0.003079, recall:0.143284
top 51: precision:0.003036, recall:0.144109
top 52: precision:0.002998, recall:0.145099
top 53: precision:0.002968, recall:0.146420
top 54: precision:0.002917, recall:0.146585
top 55: precision:0.002867, recall:0.146750
top 56: precision:0.002825, recall:0.147245
top 57: precision:0.002794, recall:0.148236
top 58: precision:0.002755, recall:0.148731
top 59: precision:0.002726, recall:0.149722
top 60: precision:0.002696, recall:0.150547
top 61: precision:0.002661, recall:0.151042
top 62: precision:0.002626, recall:0.151537
top 63: precision:0.002590, recall:0.151867
top 64: precision:0.002558, recall:0.152362
top 65: precision:0.002532, recall:0.153187
top 66: precision:0.002528, recall:0.155333
top 67: precision:0.002507, recall:0.156324
top 68: precision:0.002475, recall:0.156654
top 69: precision:0.002447, recall:0.157149
top 70: precision:0.002422, recall:0.157810
top 71: precision:0.002395, recall:0.158305
top 72: precision:0.002365, recall:0.158470
top 73: precision:0.002342, recall:0.159130
top 74: precision:0.002325, recall:0.160120
top 75: precision:0.002303, recall:0.160781
top 76: precision:0.002273, recall:0.160781
top 77: precision:0.002255, recall:0.161606
top 78: precision:0.002233, recall:0.162102
top 79: precision:0.002209, recall:0.162432
top 80: precision:0.002186, recall:0.162762
top 81: precision:0.002170, recall:0.163587
top 82: precision:0.002150, recall:0.164082
top 83: precision:0.002154, recall:0.166393
top 84: precision:0.002139, recall:0.167219
top 85: precision:0.002120, recall:0.167714
top 86: precision:0.002097, recall:0.167879
top 87: precision:0.002078, recall:0.168209
top 88: precision:0.002061, recall:0.168869
top 89: precision:0.002043, recall:0.169199
top 90: precision:0.002032, recall:0.170190
top 91: precision:0.002017, recall:0.170850
top 92: precision:0.002001, recall:0.171345
top 93: precision:0.001984, recall:0.171675
top 94: precision:0.001962, recall:0.171675
top 95: precision:0.001945, recall:0.172006
top 96: precision:0.001925, recall:0.172006
top 97: precision:0.001907, recall:0.172171
top 98: precision:0.001891, recall:0.172501
top 99: precision:0.001877, recall:0.172996
top 100: precision:0.001867, recall:0.173822
