top 1: precision:0.015238, recall:0.014194
top 2: precision:0.012050, recall:0.022446
top 3: precision:0.010218, recall:0.028552
top 4: precision:0.009525, recall:0.035484
top 5: precision:0.008506, recall:0.039610
top 6: precision:0.007531, recall:0.042085
top 7: precision:0.006835, recall:0.044561
top 8: precision:0.006424, recall:0.047862
top 9: precision:0.005966, recall:0.050008
top 10: precision:0.005831, recall:0.054299
top 11: precision:0.005461, recall:0.055949
top 12: precision:0.005198, recall:0.058094
top 13: precision:0.004948, recall:0.059910
top 14: precision:0.004747, recall:0.061891
top 15: precision:0.004525, recall:0.063211
top 16: precision:0.004331, recall:0.064531
top 17: precision:0.004170, recall:0.066017
top 18: precision:0.004037, recall:0.067667
top 19: precision:0.003880, recall:0.068658
top 20: precision:0.003757, recall:0.069978
top 21: precision:0.003646, recall:0.071299
top 22: precision:0.003536, recall:0.072454
top 23: precision:0.003429, recall:0.073444
top 24: precision:0.003338, recall:0.074600
top 25: precision:0.003261, recall:0.075920
top 26: precision:0.003169, recall:0.076745
top 27: precision:0.003085, recall:0.077570
top 28: precision:0.003019, recall:0.078726
top 29: precision:0.002958, recall:0.079881
top 30: precision:0.002883, recall:0.080541
top 31: precision:0.002836, recall:0.081862
top 32: precision:0.002769, recall:0.082522
top 33: precision:0.002707, recall:0.083182
top 34: precision:0.002658, recall:0.084172
top 35: precision:0.002613, recall:0.085163
top 36: precision:0.002555, recall:0.085658
top 37: precision:0.002520, recall:0.086813
top 38: precision:0.002463, recall:0.087143
top 39: precision:0.002422, recall:0.087969
top 40: precision:0.002393, recall:0.089124
top 41: precision:0.002360, recall:0.090114
top 42: precision:0.002317, recall:0.090610
top 43: precision:0.002283, recall:0.091435
top 44: precision:0.002260, recall:0.092590
top 45: precision:0.002229, recall:0.093415
top 46: precision:0.002188, recall:0.093745
top 47: precision:0.002176, recall:0.095231
top 48: precision:0.002138, recall:0.095561
top 49: precision:0.002119, recall:0.096716
top 50: precision:0.002088, recall:0.097211
top 51: precision:0.002064, recall:0.098036
top 52: precision:0.002048, recall:0.099192
top 53: precision:0.002046, recall:0.101007
top 54: precision:0.002035, recall:0.102327
top 55: precision:0.002024, recall:0.103648
top 56: precision:0.002010, recall:0.104803
top 57: precision:0.001987, recall:0.105463
top 58: precision:0.001967, recall:0.106288
top 59: precision:0.001943, recall:0.106783
top 60: precision:0.001920, recall:0.107278
top 61: precision:0.001909, recall:0.108434
top 62: precision:0.001889, recall:0.109094
top 63: precision:0.001885, recall:0.110579
top 64: precision:0.001877, recall:0.111900
top 65: precision:0.001862, recall:0.112725
top 66: precision:0.001847, recall:0.113550
top 67: precision:0.001828, recall:0.114045
top 68: precision:0.001824, recall:0.115530
top 69: precision:0.001823, recall:0.117181
top 70: precision:0.001818, recall:0.118501
top 71: precision:0.001800, recall:0.118996
top 72: precision:0.001794, recall:0.120316
top 73: precision:0.001780, recall:0.120977
top 74: precision:0.001765, recall:0.121637
top 75: precision:0.001753, recall:0.122462
top 76: precision:0.001744, recall:0.123452
top 77: precision:0.001731, recall:0.124112
top 78: precision:0.001718, recall:0.124773
top 79: precision:0.001700, recall:0.125103
top 80: precision:0.001693, recall:0.126093
top 81: precision:0.001687, recall:0.127249
top 82: precision:0.001671, recall:0.127579
top 83: precision:0.001659, recall:0.128239
top 84: precision:0.001652, recall:0.129229
top 85: precision:0.001641, recall:0.129889
top 86: precision:0.001630, recall:0.130550
top 87: precision:0.001621, recall:0.131375
top 88: precision:0.001613, recall:0.132200
top 89: precision:0.001603, recall:0.132860
top 90: precision:0.001593, recall:0.133520
top 91: precision:0.001593, recall:0.135006
top 92: precision:0.001582, recall:0.135501
top 93: precision:0.001576, recall:0.136491
top 94: precision:0.001570, recall:0.137482
top 95: precision:0.001559, recall:0.137977
top 96: precision:0.001552, recall:0.138802
top 97: precision:0.001547, recall:0.139792
top 98: precision:0.001548, recall:0.141278
top 99: precision:0.001541, recall:0.142103
top 100: precision:0.001533, recall:0.142763
